DEBUG: General     , 1694058048567> LoggerManager.init                  > Initializing...
LOG  : General     , 1694058048638> cachedir set to "C:\Users\Administrator\Zomboid"
LOG  : General     , 1694058048655> 07-09-2023 10:40:48
LOG  : General     , 1694058048655> cachedir is "C:\Users\Administrator\Zomboid"
LOG  : General     , 1694058048658> LogFileDir is "C:\Users\Administrator\Zomboid\Logs"
LOG  : General     , 1694058048658> ===== System specs =====
LOG  : General     , 1694058048658> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1694058048658> Processor: Intel64 Family 6 Model 126 Stepping 5, GenuineIntel
LOG  : General     , 1694058048658> Processor cores: 8
LOG  : General     , 1694058048658> Available processors (cores): 8
LOG  : General     , 1694058048658> Memory free: 100.77208 MB
LOG  : General     , 1694058048658> Memory max: 3072.0 MB
LOG  : General     , 1694058048658> Memory  total available to JVM: 126.0 MB
LOG  : General     , 1694058048658> C:\, Total: 218.08105 GB, Free: 98.75662 GB
LOG  : General     , 1694058048658> D:\, Total: 258.74316 GB, Free: 241.30603 GB
LOG  : General     , 1694058048923> Mobo = [Product=Sleepy_IL]
LOG  : General     , 1694058049060> CPU = [Manufacturer=GenuineIntel,MaxClockSpeed=1190,Name=Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz]
LOG  : General     , 1694058049191> Graphics = { [AdapterRAM=0.41.0.0,DriverVersion=Parsec Virtual Display Adapter,Name=1073741824] }
LOG  : General     , 1694058049308> VideoMode = [VideoModeDescription=1920 x 1080 x 4294967296 colors]
LOG  : General     , 1694058049441> Sound = { [Manufacturer=Intel(R) Corporation,Name=Intel(R) Display Audio], [Manufacturer=Realtek,Name=Realtek Audio] }
LOG  : General     , 1694058049577> Memory RAM = { [Capacity=4294967296,Manufacturer=Samsung], [Capacity=4294967296,Manufacturer=Kingston] }
LOG  : General     , 1694058049577> ========================
LOG  : General     , 1694058049577> -- listing properties --
LOG  : General     , 1694058049577> java.specification.version=17
LOG  : General     , 1694058049577> sun.cpu.isalist=amd64
LOG  : General     , 1694058049577> sun.jnu.encoding=Cp1252
